get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos
players/,9.0,2023.0,22.0,383,Jamal,Murray,1997-02-23,Canada,2016,5,6.0,3.0,1.9,215.0,97.5,Kentucky,Kentucky/Canada,27.0,True,G,,,,,,,,,
,,,,1055,Amida,Brimah,1994-02-11,USA,2020,1,6.0,10.0,2.08,230.0,104.3,Connecticut,Connecticut/USA,37.0,True,C,37.0,1.0,C,37.0,1.0,C,,,
,,,,1014,Michael,Porter Jr.,1998-06-29,USA,2019,2,6.0,10.0,2.08,218.0,98.9,Missouri,Missouri/USA,1.0,True,F,1.0,1.0,F,,,,,,
,,,,2627,Zeke,Nnaji,2001-01-09,USA,2020,1,6.0,9.0,2.06,240.0,108.9,Arizona,Arizona/USA,22.0,True,F-C,22.0,1.0,F,,,,,,
,,,,3091,Braxton,Key,1997-02-14,USA,2021,0,6.0,8.0,2.03,225.0,102.1,Virginia,Virginia/USA,8.0,True,F,8.0,1.0,F,,,,,,
,,,,2814,Jay,Huff,1997-08-25,USA,2021,0,,,,,,Virginia,Virginia/USA,30.0,True,F,30.0,1.0,C,,,,30.0,1.0,C
,,,,2840,Jamorko,Pickett,1997-12-24,USA,2021,0,6.0,9.0,2.06,206.0,93.4,Georgetown,Georgetown/USA,24.0,True,F,45.0,1.0,F,,,,,,
,,,,3420,Christian,Braun,,,0,0,,,,,,,,,True,G,,1.0,F,,,,,,
,,,,3498,Peyton,Watson,,,0,0,,,,,,,,8.0,True,G,8.0,1.0,F,,,,,,
,,,,3441,Collin,Gillespie,,,0,0,,,,,,,,21.0,True,G,21.0,1.0,G,,,,,,
,,,,3963,Armaan,Franklin,,,0,0,6.0,,,195.0,,Virginia,,,True,G,,,,,,,,,
,,,,3964,Andrew,Funk,,,0,0,6.0,,,188.0,,Penn State,,,True,G,,,,,,,,,
,,,,3965,Jalen,Pickett,,,0,0,6.0,,,202.0,,Siena,,,True,G,,,,,,,,,
,,,,3966,Julian,Strawther,,,0,0,6.0,,,205.0,,Gonzaga,,,True,G,,,,,,,,,
,,,,3967,Hunter,Tyson,,,0,0,6.0,,,215.0,,Clemson,,,True,F,,,,,,,,,
,,,,4070,A.,Toney,,,0,0,,,,,,,,,True,G,,,,,,,,,
,,,,286,DeAndre,Jordan,1988-07-21,USA,2008,13,6.0,11.0,2.11,265.0,120.2,Texas A&M,Texas A&M/USA,6.0,True,C,,,,,,,,,
,,,,264,Reggie,Jackson,1990-04-16,USA,2011,10,6.0,2.0,1.88,208.0,94.3,Boston College,Boston College/USA,1.0,True,G,,,,,,,,,
,,,,243,Justin,Holiday,1989-04-05,USA,2012,8,6.0,6.0,1.98,180.0,81.6,Washington,Washington/USA,9.0,True,F-G,,,,,,,,,
,,,,89,Kentavious,Caldwell-Pope,1993-02-18,USA,2013,8,6.0,5.0,1.96,204.0,92.5,Georgia,Georgia/USA,5.0,True,G,,,,,,,,,
,,,,195,Aaron,Gordon,1995-09-16,USA,2014,7,6.0,8.0,2.03,235.0,106.6,Arizona,Arizona/USA,50.0,True,F,,,,,,,,,
,,,,279,Nikola,Jokic,1995-02-19,Serbia,2015,6,6.0,11.0,2.11,284.0,128.8,Mega Basket,Mega Basket/Serbia,15.0,True,C,,,,,,,,,
