get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos
players/,10.0,2023.0,32.0,845,Monte,Morris,1995-06-27,USA,2017,4,6.0,2.0,1.88,183.0,83.0,Iowa State,Iowa State/USA,22.0,True,G,11.0,1.0,G,,,,,,,,,
,,,,931,Marvin,Bagley III,1999-03-14,USA,2018,3,6.0,11.0,2.11,235.0,106.6,Duke,Duke/USA,35.0,True,F,35.0,1.0,F,35.0,1.0,F,,,,,,
,,,,945,Troy,Brown Jr.,1999-07-28,USA,2018,3,6.0,6.0,1.98,215.0,97.5,Oregon,Oregon/USA,7.0,True,G-F,6.0,1.0,F,,,,,,,,,
,,,,987,Kevin,Knox II,1999-08-11,USA,2018,3,6.0,7.0,2.01,215.0,97.5,Kentucky,Kentucky/USA,5.0,True,F,20.0,1.0,F,,,,,,,,,
,,,,999,Chimezie,Metu,1997-03-22,USA,2018,3,6.0,9.0,2.06,225.0,102.1,Southern California,Southern California/USA,7.0,True,F-C,25.0,1.0,F,,,,7.0,1.0,F,,,
,,,,1001,Shake,Milton,1996-09-26,USA,2018,3,6.0,5.0,1.96,205.0,93.0,Southern Methodist,Southern Methodist/USA,18.0,True,G-F,18.0,1.0,G,,,,,,,,,
,,,,2557,Jontay,Porter,1999-11-15,USA,2020,0,6.0,11.0,2.11,240.0,108.9,Missouri,Missouri/USA,4.0,True,C-F,11.0,1.0,F,,,,,,,,,
,,,,2811,Quentin,Grimes,2000-05-08,USA,2021,0,6.0,4.0,1.93,210.0,95.3,Houston,Houston/USA,6.0,True,G,6.0,1.0,G,,,,,,,,,
,,,,2666,James,Wiseman,2001-03-31,USA,2020,1,7.0,0.0,2.13,240.0,108.9,Memphis,Memphis/USA,33.0,True,C,33.0,1.0,C,33.0,1.0,C,,,,,,
,,,,2599,Killian,Hayes,2001-07-27,France,2020,1,6.0,5.0,1.96,195.0,88.5,Ratiopharm Ulm,Ratiopharm Ulm/France,7.0,True,G,7.0,1.0,G,,,,,,,,,
,,,,2648,Isaiah,Stewart,2001-05-22,USA,2020,1,6.0,8.0,2.03,250.0,113.4,Washington,Washington/USA,28.0,True,F-C,28.0,1.0,C,,,,,,,,,
,,,,2587,Malachi,Flynn,1998-05-09,USA,2020,1,6.0,1.0,1.85,175.0,79.4,San Diego State,San Diego State/USA,22.0,True,G,22.0,1.0,G,,,,,,,,,
,,,,2678,Zavier,Simpson,1997-02-11,USA,2021,0,,,,,,Michigan,Michigan/USA,9.0,True,G,41.0,1.0,G,35.0,1.0,G,,,,,,
,,,,2829,Isaiah,Livers,1998-07-28,USA,2021,0,6.0,6.0,1.98,232.0,105.2,Michigan,Michigan/USA,12.0,True,F,12.0,1.0,F,,,,,,,,,
,,,,2801,Cade,Cunningham,2001-09-25,USA,2021,0,6.0,6.0,1.98,220.0,99.8,Oklahoma State,Oklahoma State/USA,2.0,True,G,2.0,1.0,G,,,,,,,,,
,,,,3790,Stanley,Umude,,,0,0,,,,,,,,14.0,True,G,37.0,1.0,G,,,,,,,,,
,,,,3451,Jaden,Ivey,,,0,0,,,,,,,,23.0,True,G,23.0,1.0,G,,,,,,,,,
,,,,3433,Jalen,Duren,,,0,0,,,,,,,,,True,C,,1.0,C,,,,,,,,,
,,,,3481,Jared,Rhoden,,,0,0,,,,,,,,42.0,True,G,32.0,1.0,F,32.0,1.0,F,,,,,,
,,,,3417,Buddy,Boeheim,,,0,0,,,,,,,,27.0,True,F,45.0,1.0,G,,,,,,,,,
,,,,3438,Simone,Fontecchio,,,0,0,,,,,,,,16.0,True,F,,,,,,,,,,,,
,,,,3968,Malcolm,Cazalon,,,0,0,6.0,,,185.0,,,,20.0,True,G,,,,,,,,,,,,
,,,,3969,Tosan,Evbuomwan,,,0,0,6.0,,,217.0,,Princeton,,,True,F,,,,,,,,,,,,
,,,,3970,Marcus,Sasser,,,0,0,6.0,,,195.0,,Houston,,,True,G,,,,,,,,,,,,
,,,,3971,Ausar,Thompson,,,0,0,6.0,,,190.0,,,,,True,F,,,,,,,,,,,,
,,,,181,Danilo,Gallinari,1988-08-08,Italy,2008,12,6.0,10.0,2.08,236.0,107.0,Olimpia Milano,Olimpia Milano/Italy,8.0,True,F,,,,,,,,,,8.0,1.0,F
,,,,190,Taj,Gibson,1985-06-24,USA,2009,12,6.0,9.0,2.06,232.0,105.2,Southern California,Southern California/USA,67.0,True,F,,,,,,,,,,,,
,,,,84,Alec,Burks,1991-07-20,USA,2011,10,6.0,6.0,1.98,214.0,97.1,Colorado,Colorado/USA,5.0,True,G,,,,,,,,,,,,
,,,,60,Bojan,Bogdanovic,1989-04-18,Croatia,2014,7,6.0,7.0,2.01,226.0,102.5,Fenerbahce,Fenerbahce/Croatia,44.0,True,F,,,,,,,,,,,,
,,,,177,Evan,Fournier,1992-10-29,France,2012,9,6.0,6.0,1.98,205.0,93.0,Poitiers Basket 86,Poitiers Basket 86/France,13.0,True,G-F,,,,,,,,,,10.0,1.0,G-F
,,,,384,Mike,Muscala,1991-07-01,USA,2013,8,6.0,10.0,2.08,240.0,108.9,Bucknell,Bucknell/USA,33.0,True,F-C,,,,,,,,,,,,
,,,,221,Joe,Harris,1991-09-06,USA,2014,7,6.0,6.0,1.98,220.0,99.8,Virginia,Virginia/USA,12.0,True,G-F,,,,,,,,,,,,
