get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos
players/,5.0,2023.0,28.0,254,RJ,Hunter,1993-10-24,USA,2015,4,6.0,5.0,1.96,185.0,83.9,Georgia State,Georgia State/USA,28.0,True,G,2.0,1.0,G,,,
,,,,458,Terry,Rozier,1994-03-17,USA,2015,6,6.0,1.0,1.85,190.0,86.2,Louisville,Louisville/USA,3.0,True,G,,,,,,
,,,,850,Frank,Ntilikina,1998-07-28,France,2017,4,6.0,4.0,1.93,200.0,90.7,Strasbourg IG,Strasbourg IG/France,21.0,True,G,11.0,1.0,G,,,
,,,,880,Edmond,Sumner,,,0,0,,,,,,,,4.0,True,G,5.0,1.0,G,,,
,,,,941,Miles,Bridges,1998-03-21,USA,2018,3,6.0,7.0,2.01,225.0,102.1,Michigan State,Michigan State/USA,,True,F,,1.0,F,,,
,,,,1879,Cody,Martin,1995-09-28,USA,2019,2,6.0,6.0,1.98,205.0,93.0,Nevada,Nevada/USA,11.0,True,F,11.0,1.0,G,,,
,,,,1897,P.J.,Washington,1998-08-23,USA,2019,2,6.0,7.0,2.01,230.0,104.3,Kentucky,Kentucky/USA,25.0,True,F,25.0,1.0,F,,,
,,,,1901,Grant,Williams,1998-11-30,USA,2019,2,6.0,6.0,1.98,236.0,107.0,Tennessee,Tennessee/USA,12.0,True,F,40.0,1.0,F,,,
,,,,2482,Marques,Bolden,,,0,0,,,,,,,,24.0,True,C,22.0,1.0,C,,,
,,,,2566,LaMelo,Ball,2001-08-22,USA,2020,1,6.0,7.0,2.01,180.0,81.6,Illawarra,Illawarra/USA,1.0,True,G,,,,,,
,,,,2614,Theo,Maledon,2001-06-12,France,2020,1,6.0,4.0,1.93,175.0,79.4,                                   ,Asvel/France,5.0,False,,11.0,1.0,G,,,
,,,,2633,Aleksej,Pokusevski,2001-12-26,Serbia,2020,1,7.0,0.0,2.13,190.0,86.2,Olympiacos,Olympiacos/Serbia,17.0,True,F,17.0,1.0,F,17.0,1.0,F
,,,,2639,Nick,Richards,1997-11-29,Jamaica,2020,1,7.0,0.0,2.13,245.0,111.1,Kentucky,Kentucky/Jamaica,4.0,True,C,4.0,1.0,C,,,
,,,,2831,Tre,Mann,2001-02-03,USA,2021,0,6.0,3.0,1.9,178.0,80.7,Florida,Florida/USA,23.0,True,G,23.0,1.0,G,23.0,1.0,G
,,,,2793,James,Bouknight,2000-09-18,USA,2021,0,6.0,4.0,1.93,190.0,86.2,Connecticut,Connecticut/USA,2.0,True,G,5.0,1.0,G,,,
,,,,2856,JT,Thor,2002-08-26,USA,2021,0,6.0,9.0,2.06,203.0,92.1,Auburn,Auburn/USA,21.0,True,F,21.0,1.0,F,,,
,,,,3506,Mark,Williams,,,0,0,,,,,,,,5.0,True,C,5.0,1.0,C,,,
,,,,3469,Bryce,McGowens,,,0,0,,,,,,,,7.0,True,G,7.0,1.0,F-G,,,
,,,,3947,Amari,Bailey,,,0,0,6.0,,,185.0,,UCLA,,,True,G,,,,,,
,,,,3948,Leaky,Black,,,0,0,6.0,,,205.0,,North Carolina,,,True,F,,,,,,
,,,,3949,Nathan,Mensah,,,0,0,6.0,,,230.0,,San Diego State,,31.0,True,C,,,,,,
,,,,3950,Brandon,Miller,,,0,0,6.0,,,200.0,,Alabama,,,True,F,,,,,,
,,,,4042,Nick Jr.,Smith,,,0,0,6.0,,,170.0,,Arkansas,,,True,G,,,,,,
,,,,227,Gordon,Hayward,1990-03-23,USA,2010,11,6.0,7.0,2.01,225.0,102.1,Butler,Butler/USA,20.0,True,F,,,,,,
,,,,488,Ish,Smith,1988-07-05,USA,2010,11,6.0,0.0,1.83,175.0,79.4,Wake Forest,Wake Forest/USA,14.0,True,G,,,,,,
,,,,52,Davis,Bertans,1992-11-12,Latvia,2016,5,6.0,10.0,2.08,225.0,102.1,Baskonia,Baskonia/Latvia,44.0,True,F,,,,,,
,,,,123,Seth,Curry,1990-08-23,USA,2013,7,6.0,2.0,1.88,185.0,83.9,Duke,Duke/USA,30.0,True,G,,,,,,
,,,,2739,Vasilije,Micic,,,0,0,,,,,,,,,True,G,,,,,,
