get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos
players/,22.0,2023.0,23.0,519,Karl-Anthony,Towns,1995-11-15,USA,2015,6,6.0,11.0,2.11,248.0,112.5,Kentucky,Kentucky/USA,32.0,True,C-F,,,,,,,,,
,,,,806,Justin,Jackson,1995-03-28,USA,2017,0,,,,,,North Carolina,North Carolina/USA,44.0,True,F,25.0,1.0,F,52.0,1.0,F,,,
,,,,845,Monte,Morris,1995-06-27,USA,2017,4,6.0,2.0,1.88,183.0,83.0,Iowa State,Iowa State/USA,22.0,True,G,,,,11.0,1.0,G,,,
,,,,945,Troy,Brown Jr.,1999-07-28,USA,2018,3,6.0,6.0,1.98,215.0,97.5,Oregon,Oregon/USA,7.0,True,G-F,,,,6.0,1.0,F,,,
,,,,1001,Shake,Milton,1996-09-26,USA,2018,3,6.0,5.0,1.96,205.0,93.0,Southern Methodist,Southern Methodist/USA,18.0,True,G-F,,,,18.0,1.0,G,,,
,,,,997,Jordan,McLaughlin,1996-04-09,USA,2019,2,5.0,11.0,1.8,185.0,83.9,Southern California,Southern California/USA,6.0,True,G,,,,26.0,1.0,G,,,
,,,,1845,Nickeil,Alexander-Walker,1998-09-02,Canada,2019,2,6.0,5.0,1.96,205.0,93.0,Virginia Tech,Virginia Tech/Canada,6.0,True,G,,,,,1.0,G,,,
,,,,2146,Naz,Reid,,,0,0,,,,,,,,11.0,True,C-F,,,,11.0,1.0,C,,,
,,,,2584,Anthony,Edwards,2001-08-05,USA,2020,1,6.0,4.0,1.93,225.0,102.1,Georgia,Georgia/USA,1.0,True,G,,,,,,,,,
,,,,2621,Jaden,McDaniels,2000-09-29,USA,2020,1,6.0,9.0,2.06,185.0,83.9,Washington,Washington/USA,3.0,True,F,,,,3.0,1.0,F,,,
,,,,3154,Daishen,Nix,2002-02-13,USA,2021,0,6.0,5.0,1.96,224.0,101.6,NBA G League Ignite,NBA G League Ignite/USA,15.0,True,G,,,,15.0,1.0,G,,,
,,,,2608,Vit,Krejci,2000-06-19,Czech Republic,2021,0,6.0,8.0,2.03,195.0,88.5,Zaragoza,Zaragoza/Czech Republic,27.0,True,G,,,,27.0,1.0,G,27.0,1.0,G
,,,,3195,Matt,Ryan,1997-04-17,USA,2021,0,6.0,7.0,2.01,215.0,97.5,Tennessee-Chattanooga,Tennessee-Chattanooga/USA,37.0,True,F,,,,37.0,1.0,F,,,
,,,,2807,Luka,Garza,1998-12-27,USA,2021,0,6.0,10.0,2.08,243.0,110.2,Iowa,Iowa/USA,55.0,True,C,,,,40.0,1.0,C,,,
,,,,3474,Wendell,Moore Jr.,,,0,0,,,,,,,,7.0,True,G,,,,15.0,1.0,F,,,
,,,,3470,Josh,Minott,,,0,0,,,,,,,,8.0,True,F,,,,7.0,1.0,F,,,
,,,,3456,Trevor,Keels,,,0,0,,,,,,,,3.0,True,G,,,,8.0,1.0,G,,,
,,,,3465,Tyrese,Martin,,,0,0,,,,,,,,22.0,True,G,,,,22.0,1.0,G,,,
,,,,4001,Leonard,Miller,,,0,0,6.0,,,210.0,,,,,True,F,,,,,,,,,
,,,,114,Mike,Conley,1987-10-11,USA,2007,14,6.0,1.0,1.85,175.0,79.4,Ohio State,Ohio State/USA,11.0,True,G,,,,,,,,,
,,,,192,Rudy,Gobert,1992-06-26,France,2013,8,7.0,1.0,2.16,258.0,117.0,Cholet,Cholet/France,27.0,True,C,,,,,,,,,
,,,,540,T.J.,Warren,1993-09-05,USA,2014,7,6.0,8.0,2.03,220.0,99.8,North Carolina State,North Carolina State/USA,1.0,True,F,,,,,,,,,
,,,,18,Kyle,Anderson,1993-09-20,USA,2014,7,6.0,9.0,2.06,230.0,104.3,UCLA,UCLA/USA,5.0,True,F-G,,,,,,,,,
